Transaction ID,Date,User ID,Book Title,Genre,Borrowing Duration
T00071,2022-12-18,U0193,Mystery of Time,Non-Fiction,10
T00072,2022-09-23,U0196,Future Tech,Fantasy,7
T00073,2023-04-18,U0023,History Unveiled,Technology,27
T00074,2024-11-11,U0179,Python Mastery,Non-Fiction,28
T00075,2023-11-11,U0052,Python Mastery,Non-Fiction,16
T00076,2022-12-25,U0055,Deep Learning Guide,History,19
T00077,2023-11-20,U0030,History Unveiled,Technology,2
T00078,2022-04-10,U0020,Data Science 101,Fantasy,13
T00079,2024-12-19,U0117,Mystery of Time,Non-Fiction,23
T00080,2022-06-05,U0158,Ocean Secrets,Mystery,12
T00081,2023-12-02,U0149,Python Mastery,Fiction,21
T00082,2022-09-11,U0006,The Lost City,Fiction,14
T00083,2022-11-13,U0152,Future Tech,Sci-Fi,6
T00084,2023-10-04,U0083,Deep Learning Guide,Technology,11
T00085,2023-10-16,U0131,Data Science 101,Fantasy,2
T00086,2022-05-23,U0120,Deep Learning Guide,Sci-Fi,26
T00087,2023-02-11,U0005,AI Revolution,History,12
T00088,2022-06-19,U0166,The Silent Forest,Technology,7
T00089,2024-03-16,U0103,History Unveiled,Mystery,24
T00090,2024-05-29,U0140,Data Science 101,Mystery,1
T00091,2024-09-11,U0052,The Lost City,Technology,22
T00092,2023-09-08,U0054,Mystery of Time,Technology,7
T00093,2024-08-13,U0085,AI Revolution,Fiction,30
T00094,2022-01-20,U0166,Deep Learning Guide,Fantasy,24
T00095,2023-02-08,U0140,Deep Learning Guide,Mystery,7
T00096,2024-08-08,U0040,The Silent Forest,Mystery,1
T00097,2024-06-29,U0051,Mystery of Time,Fiction,11
T00098,2024-04-11,U0113,Mystery of Time,Technology,8
T00099,2024-03-30,U0025,Mystery of Time,History,23
T00100,2024-09-24,U0104,Deep Learning Guide,History,11
T00101,2023-07-17,U0157,The Lost City,Mystery,20
T00102,2024-08-09,U0106,Future Tech,History,14
T00103,2022-01-13,U0129,Deep Learning Guide,Technology,11
T00104,2023-11-04,U0131,Ocean Secrets,Sci-Fi,25
T00105,2024-09-14,U0053,Ocean Secrets,Mystery,30
T00106,2023-10-04,U0165,Data Science 101,Technology,19
T00107,2022-03-19,U0165,Ocean Secrets,Fantasy,18
T00108,2022-09-15,U0036,History Unveiled,Fantasy,12
T00109,2022-09-17,U0090,Data Science 101,Fiction,27
T00110,2023-07-20,U0116,The Silent Forest,Fantasy,24
T00111,2024-12-09,U0117,Ocean Secrets,Sci-Fi,19
T00112,2022-12-14,U0014,The Silent Forest,Fantasy,17
T00113,2022-03-18,U0143,Data Science 101,Fiction,4
T00114,2024-10-08,U0038,Mystery of Time,Non-Fiction,10
T00115,2022-08-06,U0121,Future Tech,Fiction,12
T00116,2023-08-30,U0094,Python Mastery,Mystery,10
T00117,2023-12-19,U0012,Ocean Secrets,Sci-Fi,13
T00118,2023-06-03,U0099,Ocean Secrets,Technology,6
T00119,2024-03-04,U0112,Python Mastery,Fiction,1
T00120,2023-12-09,U0119,Python Mastery,Non-Fiction,19
T00121,2023-06-28,U0016,Ocean Secrets,Non-Fiction,8
T00122,2024-02-14,U0144,AI Revolution,Mystery,21
T00123,2022-02-28,U0197,Deep Learning Guide,Fantasy,25
T00124,2023-06-22,U0042,Deep Learning Guide,Mystery,12
T00125,2024-12-09,U0181,The Lost City,Fiction,9
T00126,2022-03-13,U0177,AI Revolution,Mystery,11
T00127,2024-08-14,U0127,Future Tech,Sci-Fi,2
T00128,2024-10-10,U0074,History Unveiled,Fiction,26
T00129,2022-11-23,U0149,The Lost City,History,6
T00130,2022-12-23,U0193,Python Mastery,Non-Fiction,23
T00131,2022-06-12,U0134,Python Mastery,Fantasy,7
T00132,2024-04-01,U0170,The Lost City,Technology,14
T00133,2022-02-12,U0029,Future Tech,Non-Fiction,16
T00134,2022-08-08,U0079,History Unveiled,Sci-Fi,28
T00135,2022-02-23,U0055,Future Tech,Mystery,2
T00136,2022-02-05,U0056,The Silent Forest,Fantasy,16
T00137,2022-02-13,U0095,The Lost City,Technology,4
T00138,2024-04-07,U0174,Python Mastery,Fiction,24
T00139,2022-08-08,U0169,Deep Learning Guide,Fiction,14
T00140,2022-01-03,U0124,The Lost City,Sci-Fi,25
T00141,2023-02-06,U0188,The Lost City,History,4
T00142,2022-01-06,U0098,Python Mastery,History,12
T00143,2022-03-27,U0139,Ocean Secrets,Non-Fiction,29
T00144,2024-05-23,U0076,Mystery of Time,Technology,17
T00145,2023-01-12,U0116,Data Science 101,History,5
T00146,2022-07-10,U0041,The Silent Forest,History,18
T00147,2024-10-08,U0107,The Silent Forest,Fantasy,14
T00148,2022-02-27,U0072,Python Mastery,Mystery,24
T00149,2024-08-13,U0083,Ocean Secrets,Technology,7
T00150,2023-02-21,U0121,The Silent Forest,Technology,27
T00151,2022-10-31,U0016,The Silent Forest,Technology,25
T00152,2023-07-28,U0087,Deep Learning Guide,Fiction,23
T00153,2023-09-05,U0112,Ocean Secrets,History,27
T00154,2023-05-15,U0178,Future Tech,Non-Fiction,15
T00155,2022-02-09,U0167,Python Mastery,History,20
T00156,2023-12-04,U0041,Mystery of Time,History,6
T00157,2023-09-24,U0198,The Silent Forest,Sci-Fi,10
T00158,2024-11-30,U0116,Data Science 101,Mystery,26
T00159,2023-01-23,U0114,The Silent Forest,Sci-Fi,7
T00160,2023-11-02,U0033,Data Science 101,Non-Fiction,9
T00161,2023-03-13,U0091,The Silent Forest,History,7
T00162,2024-02-06,U0055,Future Tech,Technology,5
T00163,2023-09-16,U0137,Data Science 101,Technology,10
T00164,2022-02-17,U0162,Deep Learning Guide,Sci-Fi,27
T00165,2023-03-04,U0151,The Silent Forest,Mystery,15
T00166,2022-06-15,U0037,Mystery of Time,Technology,7
T00167,2024-09-21,U0083,Data Science 101,Mystery,28
T00168,2022-01-10,U0035,Ocean Secrets,Mystery,19
T00169,2024-12-15,U0037,Data Science 101,Fantasy,22
T00170,2024-02-14,U0170,Data Science 101,Technology,5
T00171,2024-03-16,U0200,Deep Learning Guide,Technology,6
T00172,2024-11-20,U0057,Ocean Secrets,Sci-Fi,26
T00173,2024-06-15,U0193,Ocean Secrets,History,21
T00174,2024-04-08,U0033,History Unveiled,Mystery,10
T00175,2022-03-10,U0060,AI Revolution,Fantasy,7
T00176,2022-09-06,U0182,Data Science 101,Fantasy,12
T00177,2022-03-28,U0067,Python Mastery,Fantasy,4
T00178,2024-10-12,U0145,The Silent Forest,Fantasy,24
T00179,2023-03-05,U0019,Ocean Secrets,Fantasy,29
T00180,2023-11-14,U0168,Ocean Secrets,Technology,29
T00181,2023-01-30,U0089,History Unveiled,Fantasy,18
T00182,2022-10-02,U0169,Data Science 101,Non-Fiction,29
T00183,2024-07-03,U0107,History Unveiled,Sci-Fi,4
T00184,2023-12-30,U0052,The Lost City,Mystery,20
T00185,2022-09-11,U0073,The Lost City,Sci-Fi,23
T00186,2024-12-10,U0180,Ocean Secrets,Non-Fiction,1
T00187,2022-11-26,U0146,Deep Learning Guide,Fiction,25
T00188,2024-02-27,U0167,Mystery of Time,Non-Fiction,15
T00189,2024-10-08,U0169,AI Revolution,Mystery,3
T00190,2023-02-20,U0089,Python Mastery,Fantasy,17
T00191,2023-10-27,U0132,The Lost City,Fiction,9
T00192,2022-12-12,U0156,The Silent Forest,Fiction,28
T00193,2023-11-07,U0156,AI Revolution,Non-Fiction,7
T00194,2023-06-24,U0010,Future Tech,Fiction,28
T00195,2024-03-19,U0139,Deep Learning Guide,Fiction,12
T00196,2022-09-08,U0181,AI Revolution,Sci-Fi,9
T00197,2023-03-27,U0182,The Lost City,Mystery,20
T00198,2022-03-06,U0163,Mystery of Time,Fantasy,24
T00199,2023-06-14,U0125,The Lost City,Non-Fiction,4
T00200,2022-11-26,U0196,Future Tech,Fantasy,15
T00201,2022-02-11,U0096,The Lost City,History,17
T00202,2023-10-16,U0035,Python Mastery,History,25
T00203,2022-10-05,U0186,The Silent Forest,Mystery,21
T00204,2022-12-18,U0075,Future Tech,History,13
T00205,2024-12-10,U0149,The Silent Forest,Fiction,9
T00206,2024-09-11,U0039,Deep Learning Guide,Sci-Fi,3
T00207,2022-09-17,U0172,Ocean Secrets,Mystery,25
T00208,2024-04-15,U0007,Future Tech,Sci-Fi,13
T00209,2022-12-30,U0076,AI Revolution,Mystery,2
T00210,2024-10-14,U0043,History Unveiled,Sci-Fi,3
T00211,2024-10-31,U0155,AI Revolution,Fiction,15
T00212,2022-11-28,U0052,Data Science 101,Fantasy,16
T00213,2022-09-01,U0128,Deep Learning Guide,Non-Fiction,6
T00214,2024-08-26,U0034,Python Mastery,History,16
T00215,2022-03-02,U0167,The Lost City,Sci-Fi,22
T00216,2023-12-21,U0166,Python Mastery,Mystery,11
T00217,2023-04-10,U0011,Ocean Secrets,Fiction,26
T00218,2023-08-08,U0171,Python Mastery,Sci-Fi,21
T00219,2022-12-31,U0093,AI Revolution,Fantasy,20
T00220,2023-10-30,U0020,Mystery of Time,Sci-Fi,22
T00221,2022-04-30,U0021,Mystery of Time,Mystery,14
T00222,2024-11-30,U0026,The Lost City,Sci-Fi,5
T00223,2023-02-26,U0109,History Unveiled,Mystery,11
T00224,2023-08-10,U0092,Ocean Secrets,History,27
T00225,2023-09-18,U0191,History Unveiled,Fiction,23
T00226,2023-05-06,U0192,Python Mastery,Non-Fiction,21
T00227,2024-01-02,U0094,The Silent Forest,Technology,16
T00228,2024-01-29,U0130,Mystery of Time,Fiction,21
T00229,2023-12-06,U0129,Mystery of Time,Fantasy,11
T00230,2023-11-19,U0043,The Silent Forest,Fantasy,21
T00231,2023-02-07,U0181,Data Science 101,Non-Fiction,7
T00232,2023-02-01,U0170,Mystery of Time,Fantasy,18
T00233,2023-12-04,U0186,Python Mastery,Fiction,10
T00234,2024-05-17,U0049,The Silent Forest,History,28
T00235,2023-09-16,U0190,History Unveiled,Technology,3
T00236,2022-01-22,U0098,Future Tech,Sci-Fi,14
T00237,2022-02-14,U0100,Mystery of Time,Sci-Fi,1
T00238,2024-04-10,U0014,Python Mastery,Sci-Fi,26
T00239,2022-10-17,U0152,Deep Learning Guide,History,3
T00240,2024-07-12,U0193,Ocean Secrets,Fiction,1
T00241,2023-05-14,U0141,The Lost City,Mystery,14
T00242,2024-01-15,U0016,Deep Learning Guide,Fiction,15
T00243,2024-01-12,U0059,Python Mastery,Technology,28
T00244,2022-03-06,U0147,AI Revolution,Technology,20
T00245,2022-09-15,U0139,Python Mastery,Non-Fiction,2
T00246,2024-01-02,U0147,Ocean Secrets,History,8
T00247,2023-09-23,U0038,Future Tech,Sci-Fi,24
T00248,2024-08-17,U0117,Ocean Secrets,Non-Fiction,18
T00249,2022-07-12,U0152,Deep Learning Guide,Technology,20
T00250,2022-07-03,U0131,Python Mastery,Technology,25
T00251,2024-08-08,U0185,Python Mastery,Technology,21
T00252,2024-02-20,U0006,Mystery of Time,History,22
T00253,2024-05-23,U0171,The Silent Forest,Fiction,20
T00254,2022-01-26,U0082,Mystery of Time,Fiction,28
T00255,2022-03-07,U0159,Future Tech,Non-Fiction,12
T00256,2024-04-18,U0061,Deep Learning Guide,Fantasy,10
T00257,2022-12-13,U0002,Deep Learning Guide,Fantasy,1
T00258,2024-02-01,U0070,Future Tech,Sci-Fi,7
T00259,2023-09-18,U0023,Python Mastery,Non-Fiction,12
T00260,2022-01-07,U0001,Python Mastery,Fantasy,8
T00261,2022-09-16,U0125,Data Science 101,Fiction,26
T00262,2023-02-24,U0031,Python Mastery,Technology,7
T00263,2024-09-26,U0091,AI Revolution,Fantasy,1
T00264,2024-07-17,U0023,AI Revolution,History,10
T00265,2022-10-07,U0117,Data Science 101,Technology,10
T00266,2022-01-01,U0108,Python Mastery,History,16
T00267,2022-04-16,U0122,History Unveiled,Fiction,10
T00268,2022-08-26,U0064,Ocean Secrets,Non-Fiction,12
T00269,2022-02-20,U0122,The Silent Forest,Fiction,19
T00270,2024-10-10,U0036,The Lost City,Sci-Fi,30
T00271,2024-08-18,U0028,The Silent Forest,Technology,13
T00272,2023-10-26,U0192,AI Revolution,Non-Fiction,12
T00273,2024-01-26,U0123,Mystery of Time,Non-Fiction,9
T00274,2024-03-13,U0019,History Unveiled,Non-Fiction,2
T00275,2022-06-11,U0083,Deep Learning Guide,Sci-Fi,14
T00276,2022-02-22,U0102,Ocean Secrets,Non-Fiction,28
T00277,2023-09-18,U0194,Deep Learning Guide,Non-Fiction,15
T00278,2024-05-29,U0149,AI Revolution,Technology,1
T00279,2022-04-14,U0014,Data Science 101,History,13
T00280,2023-08-19,U0028,Data Science 101,Technology,25
T00281,2023-12-06,U0057,Ocean Secrets,History,20
T00282,2022-07-12,U0114,Ocean Secrets,Fiction,4
T00283,2022-09-08,U0126,Future Tech,History,10
T00284,2024-06-21,U0143,Deep Learning Guide,Fiction,26
T00285,2022-03-25,U0127,The Silent Forest,Non-Fiction,1
T00286,2024-01-02,U0110,Future Tech,Mystery,15
T00287,2024-08-21,U0145,The Lost City,Fantasy,19
T00288,2023-02-09,U0073,The Lost City,Technology,4
T00289,2023-03-29,U0194,Mystery of Time,Sci-Fi,21
T00290,2023-09-21,U0168,Mystery of Time,Fantasy,11
T00291,2023-01-11,U0179,Ocean Secrets,History,21
T00292,2023-02-11,U0110,Future Tech,History,17
T00293,2023-03-05,U0081,Mystery of Time,Mystery,9
T00294,2024-05-15,U0053,The Silent Forest,Technology,28
T00295,2022-09-25,U0187,Python Mastery,Fiction,15
T00296,2022-03-10,U0171,Ocean Secrets,Technology,11
T00297,2023-12-20,U0025,Python Mastery,Technology,23
T00298,2024-03-25,U0180,Mystery of Time,Technology,28
T00299,2024-12-04,U0176,Ocean Secrets,Mystery,28
T00300,2023-11-16,U0131,History Unveiled,Fantasy,6
T00301,2022-05-16,U0184,Future Tech,Technology,22
T00302,2024-03-08,U0078,AI Revolution,Non-Fiction,20
T00303,2023-02-06,U0022,Ocean Secrets,Mystery,8
T00304,2022-08-25,U0147,The Silent Forest,Mystery,2
T00305,2024-12-02,U0034,Python Mastery,Sci-Fi,21
T00306,2022-05-18,U0117,Mystery of Time,Mystery,14
T00307,2024-03-16,U0096,Mystery of Time,Fiction,19
T00308,2023-03-02,U0098,Python Mastery,Fantasy,7
T00309,2024-01-01,U0160,Future Tech,Fiction,23
T00310,2024-02-24,U0179,The Silent Forest,Fantasy,21
T00311,2024-03-31,U0195,Ocean Secrets,Technology,28
T00312,2023-05-01,U0091,Future Tech,Sci-Fi,9
T00313,2022-02-26,U0113,Ocean Secrets,Fantasy,14
T00314,2023-03-20,U0114,AI Revolution,History,24
T00315,2023-03-24,U0004,AI Revolution,Fantasy,20
T00316,2022-09-19,U0077,History Unveiled,Technology,24
T00317,2024-11-10,U0020,Ocean Secrets,Fiction,25
T00318,2024-06-17,U0191,The Silent Forest,History,24
T00319,2024-10-22,U0190,The Silent Forest,History,21
T00320,2022-09-01,U0033,The Silent Forest,Fantasy,8
T00321,2022-03-21,U0185,Python Mastery,Fiction,15
T00322,2024-05-28,U0068,The Silent Forest,Non-Fiction,8
T00323,2022-08-24,U0011,Ocean Secrets,Technology,23
T00324,2022-09-22,U0084,AI Revolution,Technology,1
T00325,2023-01-31,U0185,History Unveiled,Non-Fiction,15
T00326,2023-04-26,U0069,The Silent Forest,Non-Fiction,4
T00327,2022-03-23,U0124,Future Tech,Technology,4
T00328,2023-05-24,U0188,History Unveiled,Non-Fiction,2
T00329,2023-04-30,U0055,AI Revolution,Technology,29
T00330,2023-03-16,U0043,Ocean Secrets,Sci-Fi,24
T00331,2023-12-25,U0067,Ocean Secrets,Technology,1
T00332,2023-09-07,U0076,Deep Learning Guide,Non-Fiction,18
T00333,2024-07-15,U0189,Ocean Secrets,Non-Fiction,30
T00334,2023-02-08,U0094,The Silent Forest,Technology,20
T00335,2023-11-07,U0136,History Unveiled,Non-Fiction,26
T00336,2023-11-11,U0092,AI Revolution,Sci-Fi,25
T00337,2022-02-03,U0016,Mystery of Time,Mystery,29
T00338,2024-09-16,U0038,Python Mastery,Mystery,6
T00339,2022-04-16,U0157,Mystery of Time,Mystery,3
T00340,2024-05-25,U0034,Ocean Secrets,Fiction,15
T00341,2024-03-30,U0029,Deep Learning Guide,Non-Fiction,16
T00342,2022-05-13,U0195,Mystery of Time,Fantasy,6
T00343,2024-01-09,U0195,Ocean Secrets,Non-Fiction,30
T00344,2022-08-23,U0101,Mystery of Time,Technology,7
T00345,2024-10-28,U0046,Future Tech,Technology,17
T00346,2023-02-18,U0167,Ocean Secrets,Non-Fiction,26
T00347,2022-10-29,U0074,Data Science 101,Mystery,5
T00348,2024-10-07,U0035,Mystery of Time,Fiction,27
T00349,2023-04-18,U0116,Data Science 101,Mystery,18
T00350,2022-12-28,U0071,AI Revolution,Sci-Fi,11
T00351,2024-12-11,U0038,The Silent Forest,History,28
T00352,2022-02-04,U0086,Deep Learning Guide,Technology,19
T00353,2022-01-06,U0048,AI Revolution,Technology,4
T00354,2023-10-03,U0181,Data Science 101,Fiction,24
T00355,2023-10-23,U0039,The Silent Forest,History,7
T00356,2023-10-30,U0062,Data Science 101,History,7
T00357,2024-09-09,U0093,History Unveiled,Fiction,8
T00358,2022-08-29,U0106,Data Science 101,Technology,6
T00359,2024-04-30,U0037,Ocean Secrets,Mystery,15
T00360,2024-01-04,U0138,The Lost City,Technology,22
T00361,2024-02-05,U0049,The Lost City,Fantasy,23
T00362,2024-12-24,U0125,Deep Learning Guide,Fiction,14
T00363,2023-05-29,U0119,Python Mastery,Fantasy,13
T00364,2022-07-14,U0178,Python Mastery,Sci-Fi,3
T00365,2022-06-16,U0113,The Lost City,Technology,19
T00366,2024-12-14,U0160,The Silent Forest,Technology,3
T00367,2023-03-23,U0015,The Silent Forest,History,27
T00368,2022-05-02,U0123,The Lost City,Mystery,21
T00369,2024-08-23,U0122,Deep Learning Guide,Fiction,22
T00370,2024-05-09,U0036,AI Revolution,Fantasy,20
T00371,2023-04-24,U0047,Deep Learning Guide,Fiction,1
T00372,2024-02-20,U0028,Mystery of Time,Fiction,12
T00373,2023-12-08,U0176,Deep Learning Guide,Non-Fiction,29
T00374,2023-01-07,U0174,Future Tech,History,18
T00375,2024-01-06,U0076,The Lost City,Sci-Fi,30
T00376,2023-04-19,U0112,The Lost City,Fantasy,18
T00377,2022-06-15,U0120,The Lost City,Fiction,3
T00378,2022-01-09,U0181,History Unveiled,Technology,20
T00379,2024-02-13,U0143,The Lost City,Sci-Fi,3
T00380,2023-05-13,U0021,The Lost City,Mystery,8
T00381,2023-01-10,U0193,The Silent Forest,Mystery,28
T00382,2024-10-17,U0093,The Lost City,Fiction,17
T00383,2024-08-31,U0075,Ocean Secrets,Sci-Fi,16
T00384,2022-02-03,U0017,Future Tech,Sci-Fi,8
T00385,2024-06-01,U0045,Ocean Secrets,Technology,20
T00386,2022-08-15,U0147,History Unveiled,Mystery,28
T00387,2024-05-03,U0104,History Unveiled,Fantasy,15
T00388,2023-05-22,U0133,History Unveiled,Mystery,30
T00389,2024-05-01,U0161,History Unveiled,History,9
T00390,2023-09-11,U0064,Python Mastery,Mystery,14
T00391,2023-02-15,U0167,Future Tech,Technology,15
T00392,2022-08-01,U0078,Mystery of Time,Sci-Fi,13
T00393,2024-10-24,U0006,Mystery of Time,Mystery,2
T00394,2022-02-28,U0098,History Unveiled,Sci-Fi,13
T00395,2023-08-28,U0128,AI Revolution,Technology,19
T00396,2022-07-07,U0055,The Silent Forest,Fantasy,17
T00397,2022-01-05,U0052,Future Tech,History,15
T00398,2024-06-12,U0144,Data Science 101,Technology,14
T00399,2022-09-30,U0186,Deep Learning Guide,Sci-Fi,11
T00400,2022-11-15,U0177,Future Tech,History,25
T00401,2023-07-10,U0021,Future Tech,Technology,27
T00402,2022-11-19,U0108,Mystery of Time,Sci-Fi,20
T00403,2022-08-30,U0098,Data Science 101,Sci-Fi,25
T00404,2022-12-01,U0012,Future Tech,History,1
T00405,2023-02-09,U0042,Python Mastery,Technology,14
T00406,2023-05-05,U0084,The Silent Forest,Fantasy,20
T00407,2024-06-12,U0028,The Silent Forest,Technology,19
T00408,2023-02-25,U0123,History Unveiled,Sci-Fi,12
T00409,2024-07-19,U0146,Data Science 101,Fantasy,12
T00410,2024-12-06,U0200,Mystery of Time,Fiction,30
T00411,2024-06-26,U0127,History Unveiled,Sci-Fi,2
T00412,2024-03-01,U0015,The Lost City,Sci-Fi,28
T00413,2023-05-02,U0045,Deep Learning Guide,Mystery,22
T00414,2024-04-15,U0064,Mystery of Time,Technology,9
T00415,2023-01-25,U0094,Data Science 101,Non-Fiction,19
T00416,2024-01-28,U0126,The Silent Forest,Technology,5
T00417,2023-08-01,U0110,Future Tech,Sci-Fi,3
T00418,2022-07-09,U0116,History Unveiled,Non-Fiction,29
T00419,2022-01-08,U0072,Python Mastery,History,15
T00420,2023-02-04,U0143,The Silent Forest,Fantasy,6
T00421,2024-03-29,U0009,Python Mastery,Technology,29
T00422,2024-09-09,U0081,Mystery of Time,Fantasy,23
T00423,2023-10-30,U0159,Deep Learning Guide,Sci-Fi,21
T00424,2022-03-09,U0032,AI Revolution,Technology,23
T00425,2023-10-07,U0066,Data Science 101,Technology,3
T00426,2022-04-05,U0151,Data Science 101,Technology,30
T00427,2024-03-19,U0176,AI Revolution,Non-Fiction,6
T00428,2023-09-27,U0099,The Lost City,Sci-Fi,7
T00429,2024-07-01,U0078,Future Tech,Fiction,4
T00430,2023-10-02,U0160,Future Tech,Mystery,28
T00431,2023-11-12,U0027,Deep Learning Guide,Fantasy,8
T00432,2023-10-23,U0146,Future Tech,Fantasy,12
T00433,2023-08-05,U0198,Future Tech,Non-Fiction,3
T00434,2024-03-10,U0097,Data Science 101,Technology,16
T00435,2023-02-22,U0010,Python Mastery,Mystery,27
T00436,2023-02-14,U0181,Ocean Secrets,Technology,17
T00437,2022-11-23,U0193,The Lost City,History,20
T00438,2023-02-12,U0125,Mystery of Time,Fantasy,1
T00439,2022-01-20,U0100,Future Tech,Mystery,25
T00440,2022-04-22,U0123,Future Tech,Non-Fiction,16
T00441,2023-12-30,U0160,AI Revolution,Sci-Fi,4
T00442,2022-10-06,U0042,Deep Learning Guide,Fiction,7
T00443,2023-08-10,U0036,Ocean Secrets,Technology,10
T00444,2023-06-28,U0117,The Lost City,Sci-Fi,3
T00445,2024-08-25,U0189,The Silent Forest,Fiction,18
T00446,2023-01-02,U0065,Future Tech,Non-Fiction,9
T00447,2024-12-04,U0171,AI Revolution,History,12
T00448,2024-05-14,U0174,The Silent Forest,Sci-Fi,24
T00449,2022-10-08,U0095,Deep Learning Guide,History,5
T00450,2024-07-17,U0115,Data Science 101,Fiction,3
T00451,2024-02-02,U0039,Data Science 101,Fantasy,16
T00452,2024-08-03,U0199,Data Science 101,Fiction,11
T00453,2022-05-09,U0056,Ocean Secrets,Sci-Fi,16
T00454,2023-08-06,U0063,Ocean Secrets,Fiction,23
T00455,2022-06-01,U0093,Future Tech,Technology,23
T00456,2022-11-04,U0142,History Unveiled,Mystery,3
T00457,2022-06-17,U0054,Mystery of Time,History,19
T00458,2022-01-04,U0032,The Silent Forest,Fantasy,16
T00459,2022-05-06,U0022,The Silent Forest,Technology,11
T00460,2023-01-11,U0116,The Lost City,Sci-Fi,18
T00461,2023-01-21,U0126,Python Mastery,Non-Fiction,12
T00462,2023-03-10,U0107,Python Mastery,Technology,21
T00463,2024-05-01,U0171,Deep Learning Guide,History,23
T00464,2022-03-26,U0057,Future Tech,Non-Fiction,7
T00465,2022-04-17,U0007,The Lost City,Fantasy,30
